status_id,screen_name,text,source,reply_to_status_id,reply_to_screen_name,is_retweet,favourites_count,retweet_count,country_code,followers_count,friends_count,verified,lang
1251661790171160578,RT_com,"This Mexican #Batman is on a mission, but he’s not fighting crime - he’s raising awareness about #COVID19 pandemic.

FULL STORY ➡️ https://t.co/nS3iOm8s0h https://t.co/4CplIJy4Rs",Twitter Media Studio,,,False,962,40,,3076599,627,True,en
1251661791957934080,NEJM,Perspective: Covid-19 and Immunity in Aging Populations #COVID19,Twitter for Advertisers,,,False,1019,70,,696959,395,True,en
1251661791693848576,OurRevolution,"""The United States is the richest country in the history of humanity. There's absolutely no reason why our frontline healthcare workers shouldn't have access to PPE."" #MedicareForAll #OurRevolution #Coronavirus
https://t.co/2GJYok6zyU",TweetDeck,,,False,1274,17,,143356,1465,True,en
1251661804574474247,CovenantHouse,"Happening now! Tune into NBC, CBS, or ABC to see one of our courageous staff members and Amy Poehler shed light on @covenanthouse's work on the #COVID19 frontline. https://t.co/XjqyUc9iip",Buffer,,,False,21671,12,,25811,2897,True,en
1251661822375219201,globaltimesnews,"A military transport plane loaded with Chinese humanitarian aid arrived Minsk from Beijing on Friday morning. The special flight delivered 32 tons of humanitarian goods to Belarus, including rapid test kits, respirators, medical masks. #COVID19 https://t.co/ygvvvSHHvd https://t.co/sZ8afkiD1Z",Buffer,,,False,280,12,,1734607,509,True,en
1251661845343211521,1310NEWS,"Ottawa church making hospital gowns for seniors home amid COVID-19 pandemic #ottnews #COVID19
https://t.co/R6isL4RnzW",Salesforce - Social Studio,,,False,1235,10,,26706,1046,True,en
1251661850518970373,unfoundation,"Join @GlblCtzn for ""One World: #TogetherAtHome"", now broadcasting live on TV and radio stations across the world. 

Find out how to watch, and how to support @WHO - the organization at the center of the world's #COVID19 response: https://t.co/zfPczQaLAY",Hootsuite Inc.,,,False,6971,44,,600796,1890,True,en
1251661851538214913,ahahospitals,"Thank you to the doctors, nurses and other hospital staff and #healthcareheroes who are working diligently to fight #COVID19. #SolidarityAt8",Hootsuite Inc.,,,False,2920,31,,49524,1985,True,en
1251662042139897856,AFP,"The Millennium Circus was supposed to be performing in northern Italy, but the #coronavirus lockdown has trapped the performers and their 40 animals in a vast car park since February 20 - and they must rely on outside help to feed the beasts https://t.co/iiVXgM2uUc https://t.co/7AoY1HkKGh",TweetDeck,,,False,2543,32,,1849121,675,True,en
1251662198952394752,jonlionfineart2,"A White House adviser says people protesting stay-at-home orders are 'modern-day Rosa Parks'?

Are you fucking kidding me???!!!

I like to draw people who inspire me...safe to say I won’t be drawing any of.............them.

Charcoal/pencil drawing 

#RosaParks #CoronaVirus https://t.co/1c7ghSomb3",Twitter for iPad,,,False,3203,34,,12131,3029,False,en
1251662294100127745,UNICEF,"As #COVID19 stretches services across the world, the need to protect children’s health continues. 

Now more than ever, we rely on your support to provide clean water and life-saving health services #ForEveryChild.",Twitter for Advertisers,,,False,15076,77,,8185413,23643,True,en
1251662535293571081,HaydnDunn,"Jennifer Hudson performing  ""Hallelujah""
 #TogetherAtHome 
 powered by @GlblCtzn, to raise money for #COVID19 relief https://t.co/boYLoqfEhS",Twitter for iPhone,,,False,11477,121,,1797,1087,False,en
1251662535398432768,iskandrah,"Over 700,000 Americans have been diagnosed with #COVID19 and over 37,000 have died. Those are just the reported numbers. That's in a month and some days. Until they have lost someone irreplaceable some among us will deny that this is happening. We all wish it were not true! https://t.co/7Wanynhri8",Twitter Web App,,,False,175747,17,,19612,7747,True,en
1251662587227451392,JLM73TX,The Doolittle Raid and #COVID19 https://t.co/BV1uarZVfc #america #doolittleraid,Google,,,False,4373,11,,1538,1807,False,en
1251662613152280577,earthshakerph,"COVID-19 CASES IN METRO MANILA 
Latest data as of 3:00 AM PhST April 19, 2020

The total number of LGU-validated #COVID19 cases in Metro Manila is now 3,138 with 11 (out of 17) LGUs having more than 100 cases. Stay safe! https://t.co/IIb91ijNVY",Twitter Web App,,,False,2625,14,,53089,17,False,en
1251662987418574849,GiuseppeNoc,"Por lo visto en redes sociales asomar o solo sugerir soluciones al #ChinaVirus que no sea la que diga Bill Gates y la OMS, no es permitido.

Apparently, on social networks, simply suggesting solutions to #Covid_19, other than what #BillGates and #WHO say, it is not allowed. https://t.co/poypn7xvrS",Twitter Web App,,,False,99665,140,,29115,17572,False,en
1251663102283841536,bluelivesmtr,"Governor Orders Investigation After 17 Bodies Found Stacked In Nursing Home https://t.co/dPvzLHryTy

Follow @bluelivesmtr
#BlueLivesMatter #BackTheBlue #lawenforcement #law #covid19 #coronavirus",Buffer,,,False,16592,11,,63120,9002,True,en
